division_full,date,D4,D3,D2,D1,D0,Near Normal,W0,W1,W2,W3,W4
Hawaiʻi::Hāʻena,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Hīleaiki,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.684931506849315,99.31506849315068,0.0
Hawaiʻi::Hīleanui,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Hawaiʻi::Hōlualoa 1-2,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Hōlualoa 3,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Hōlualoa 4,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Hōnaunau,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Hawaiʻi::Hōʻea, Manowaikohau",2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Hawaiʻi::Iliʻililoa,2026-03,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Hawaiʻi::Kahaliʻi,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Hawaiʻi::Kahaluʻu,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Kahaualeʻa,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,29.43699731903485,70.56300268096514,0.0,0.0,0.0
Hawaiʻi::Kahauloa 2,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Hawaiʻi::Kahilipaliiki, Kah",2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Hawaiʻi::Kahilipalinui,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
"Hawaiʻi::Kahoahuna, Paʻana",2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Hawaiʻi::Kahua,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Hawaiʻi::Kahue,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.78481012658227,2.2151898734177213,0.0,0.0
Hawaiʻi::Kahuku,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.393730074388948,48.15356004250797,39.45270988310308
Hawaiʻi::Kahuwai,2026-03,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Hawaiʻi::Kahuā 1,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.391304347826086,6.884057971014493,9.420289855072465,66.30434782608695
Hawaiʻi::Kahuā 2,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.324324324324325,7.297297297297297,10.81081081081081,67.56756756756756
Hawaiʻi::Kaiaʻakea,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,15.384615384615385,84.61538461538461,0.0,0.0,0.0
Hawaiʻi::Kaiholena,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Kaihoʻonā,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.137931034482758,75.86206896551724
Hawaiʻi::Kaihuiki,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Hawaiʻi::Kaimū,2026-03,0.0,0.0,0.0,0.0,0.0,32.15339233038348,67.84660766961652,0.0,0.0,0.0,0.0
Hawaiʻi::Kainehe,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
"Hawaiʻi::Kaipuhaʻa, Lamaloloa",2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Kaiwiki,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
"Hawaiʻi::Kaiwiki, Maumau",2026-03,0.0,0.0,0.0,0.0,0.0,0.0,63.74999999999999,36.25,0.0,0.0,0.0
Hawaiʻi::Kaiwikinui,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,41.09947643979058,58.90052356020943,0.0,0.0,0.0
Hawaiʻi::Kalakalaula,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
"Hawaiʻi::Kalala 1-2, Kokiʻo",2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7692307692307693,20.384615384615383,22.692307692307693,56.15384615384615
Hawaiʻi::Kalalau,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,85.29411764705883,14.705882352941178,0.0,0.0,0.0
Hawaiʻi::Kalaoa,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Hawaiʻi::Kalaoa 1-5,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Hawaiʻi::Kalapana, Kupahua",2026-03,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Hawaiʻi::Kaloko,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Kalopā,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,35.689655172413794,64.3103448275862,0.0,0.0,0.0
"Hawaiʻi::Kalua, Pakiloa, ʻŌuhi, Kaao",2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Hawaiʻi::Kalāhiki,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Kamano,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Kamaui,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Hawaiʻi::Kamaʻeʻe,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,77.97356828193833,22.026431718061673,0.0,0.0,0.0
Hawaiʻi::Kamoamoa,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Hawaiʻi::Kamoauau,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Hawaiʻi::Kamoku,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,3.404255319148936,48.723404255319146,32.76595744680851,15.106382978723405,0.0
"Hawaiʻi::Kamāʻoa, Puʻuʻeo, Ke",2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.86069651741293,32.13930348258707
Hawaiʻi::Kanahonua,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Hawaiʻi::Kapaʻa,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Kapaʻanui,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Kapaʻau,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Kapoaula,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.96491228070175,64.03508771929825,0.0
Hawaiʻi::Kapoho,2026-03,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Hawaiʻi::Kapulena,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
"Hawaiʻi::Kapulena, Haukoʻi, K",2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Hawaiʻi::Kapunapuna,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Kapuʻa 1,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Kapuʻa 2,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3930254476908575,96.60697455230914
Hawaiʻi::Kapāpala,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.891747305483438,82.85736763433246,1.2508850601840924,0.0
Hawaiʻi::Kau,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Kauaea,2026-03,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Hawaiʻi::Kaueleau,2026-03,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Hawaiʻi::Kauhakō,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Kauhiula,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
"Hawaiʻi::Kaukulau, Ki (b)",2026-03,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
"Hawaiʻi::Kaulana, Awalua, ʻŌhiki",2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Kaulanamauna,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.633802816901409,94.36619718309859
Hawaiʻi::Kauleolī 1-2,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Hawaiʻi::Kaumalumalu, Pāhoehoe",2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Hawaiʻi::Kaunāmano, Napauku",2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
"Hawaiʻi::Kaupakuea, Makea",2026-03,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Hawaiʻi::Kaupalaoa,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.108108108108109,91.8918918918919
Hawaiʻi::Kawaihae 1,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.726256983240223,17.430167597765365,15.307262569832403,36.53631284916201
Hawaiʻi::Kawaihae 2,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.72290809327846,23.18244170096022,26.200274348422496,12.894375857338819
Hawaiʻi::Kawainui,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Hawaiʻi::Kawela 1,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.112359550561797,89.8876404494382,0.0
Hawaiʻi::Kawela 2,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Hawaiʻi::Kaūmana,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,4.66321243523316,95.33678756476684,0.0,0.0,0.0
Hawaiʻi::Kaʻakepa,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Hawaiʻi::Kaʻala,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
"Hawaiʻi::Kaʻalaʻala, Kanaio",2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
"Hawaiʻi::Kaʻalāiki, Hiʻonaʻā",2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Hawaiʻi::Kaʻapoko,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Hawaiʻi::Kaʻapuna,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.948051948051948,98.05194805194806
Hawaiʻi::Kaʻauhuhu 1,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Hawaiʻi::Kaʻauhuhu 2,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Kaʻawaloa,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Kaʻieʻie,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Hawaiʻi::Kaʻohe,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.8384146341463415,99.16158536585365,0.0,0.0,0.0
Hawaiʻi::Kaʻohe 1-3,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Kaʻohe 4,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Kaʻohe 5,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Kaʻohe Mauka,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,5.8167590479295725,34.287577437235086,22.52363873492012,31.607433974567982,5.764590805347245
Hawaiʻi::Kaʻūpūlehu,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.94061757719715,47.82264449722882,27.23673792557403
Hawaiʻi::Keahialaka,2026-03,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Hawaiʻi::Keahuolū,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Kealahewa,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Kealakehe,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Hawaiʻi::Kealakekua, Kīloa 1",2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Kealakomo,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Hawaiʻi::Keauhou,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.56287151348879,12.437128486511202,0.0,0.0
Hawaiʻi::Keauhou 1,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Keauhou 2,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51228315286995,34.76539760158342,64.72231924554663
"Hawaiʻi::Keauohana, Kehena",2026-03,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Hawaiʻi::Keaīwa,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Hawaiʻi::Keaʻau,2026-03,0.0,0.0,0.0,0.0,0.0,36.04547481052162,54.92643780650914,9.028087382969238,0.0,0.0,0.0
Hawaiʻi::Keaʻā,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
"Hawaiʻi::Kehena 1, Kipi",2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.741573033707865,93.25842696629213
Hawaiʻi::Kehena 2,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.835820895522389,92.16417910447761
Hawaiʻi::Kemau,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Hawaiʻi::Keonepokoiki,2026-03,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Hawaiʻi::Keonepokonui,2026-03,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
"Hawaiʻi::Keoniki, Kauniho, Wa",2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.19834710743802,43.80165289256198
Hawaiʻi::Keālia 1,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Keālia 2,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Keʻei 1,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Keʻei 2,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Hawaiʻi::Keʻekeʻe 1-2, Kanakau",2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Hawaiʻi::Kiolakaʻa, Puʻumakaʻā",2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.39013452914799,18.609865470852018
Hawaiʻi::Kiʻilae,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Kiʻiokalani,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.51219512195122,80.48780487804879
Hawaiʻi::Kohanaiki,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Koholālele,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Hawaiʻi::Kokoiki,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Kolo,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Hawaiʻi::Koloaha, Kulihaʻi",2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Hawaiʻi::Kou,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Kuilei 1-2,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Hawaiʻi::Kukuihaele,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
"Hawaiʻi::Kukuihala, Kamāʻili",2026-03,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Hawaiʻi::Kukuikea,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Hawaiʻi::Kukuiopaʻe 1-2,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Kukuipahu,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Kula,2026-03,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
"Hawaiʻi::Kulanakiʻi, Kahīnano",2026-03,0.0,0.0,0.0,0.0,0.0,0.0,3.1746031746031744,96.82539682539682,0.0,0.0,0.0
Hawaiʻi::Kulaʻikahonu,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Hawaiʻi::Kulaʻimano,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
"Hawaiʻi::Kāhei, Hualua",2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Kāwala,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Hawaiʻi::Kēōkea,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Kīkala,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,77.04918032786885,22.950819672131146,0.0,0.0,0.0
"Hawaiʻi::Kīkala 1-2, Kēōkea",2026-03,0.0,0.0,0.0,0.0,0.0,73.33333333333333,26.666666666666668,0.0,0.0,0.0,0.0
Hawaiʻi::Kīpahoehoe,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5897435897435894,96.41025641025641
Hawaiʻi::Kīʻao,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.541353383458645,83.45864661654136
Hawaiʻi::Kīʻolokū,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Hawaiʻi::Kūkaʻiau,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
"Hawaiʻi::Kūkiʻo, Maniniʻōwali",2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,79.0,8.5
Hawaiʻi::Kūkūau 1,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,27.9874213836478,72.0125786163522,0.0,0.0,0.0
Hawaiʻi::Kūkūau 2,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,20.0,80.0,0.0,0.0,0.0
"Hawaiʻi::Laeʻapuki, Pānaui-iki",2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Hawaiʻi::Laimi,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
"Hawaiʻi::Lanihau 1-2, Moeauo",2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Hawaiʻi::Lanikepu,2026-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.00000000000001,45.0
